,鄉鎮,table連結
0,海外地區,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.rnap4?iplscode=9999&iwebcod=&iuid=3T3F4C4C3N4E3Q4A
1,金門縣烏坵鄉,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.rnap4?iplscode=7206&iwebcod=&iuid=3T3F4C4C3N4E3Q4A
2,金門縣烈嶼鄉,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.rnap4?iplscode=7205&iwebcod=&iuid=3T3F4C4C3N4E3Q4A
3,金門縣金寧鄉,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.rnap4?iplscode=7204&iwebcod=&iuid=3T3F4C4C3N4E3Q4A
4,金門縣金湖鎮,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.rnap4?iplscode=7203&iwebcod=&iuid=3T3F4C4C3N4E3Q4A
5,金門縣金沙鎮,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.rnap4?iplscode=7202&iwebcod=&iuid=3T3F4C4C3N4E3Q4A
6,金門縣金城鎮,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.rnap4?iplscode=7201&iwebcod=&iuid=3T3F4C4C3N4E3Q4A
7,連江縣東引鄉,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.rnap4?iplscode=7104&iwebcod=&iuid=3T3F4C4C3N4E3Q4A
8,連江縣莒光鄉,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.rnap4?iplscode=7103&iwebcod=&iuid=3T3F4C4C3N4E3Q4A
9,連江縣北竿鄉,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.rnap4?iplscode=7102&iwebcod=&iuid=3T3F4C4C3N4E3Q4A
10,連江縣南竿鄉,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.rnap4?iplscode=7101&iwebcod=&iuid=3T3F4C4C3N4E3Q4A
11,台北市北投區,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.rnap4?iplscode=6312&iwebcod=&iuid=3T3F4C4C3N4E3Q4A
12,台北市士林區,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.rnap4?iplscode=6311&iwebcod=&iuid=3T3F4C4C3N4E3Q4A
13,台北市內湖區,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.rnap4?iplscode=6310&iwebcod=&iuid=3T3F4C4C3N4E3Q4A
14,台北市南港區,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.rnap4?iplscode=6309&iwebcod=&iuid=3T3F4C4C3N4E3Q4A
15,台北市文山區,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.rnap4?iplscode=6308&iwebcod=&iuid=3T3F4C4C3N4E3Q4A
16,台北市萬華區,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.rnap4?iplscode=6307&iwebcod=&iuid=3T3F4C4C3N4E3Q4A
17,台北市大同區,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.rnap4?iplscode=6306&iwebcod=&iuid=3T3F4C4C3N4E3Q4A
18,台北市中正區,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.rnap4?iplscode=6305&iwebcod=&iuid=3T3F4C4C3N4E3Q4A
19,台北市中山區,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.rnap4?iplscode=6304&iwebcod=&iuid=3T3F4C4C3N4E3Q4A
20,台北市大安區,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.rnap4?iplscode=6303&iwebcod=&iuid=3T3F4C4C3N4E3Q4A
21,台北市信義區,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.rnap4?iplscode=6302&iwebcod=&iuid=3T3F4C4C3N4E3Q4A
22,台北市松山區,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.rnap4?iplscode=6301&iwebcod=&iuid=3T3F4C4C3N4E3Q4A
23,嘉義市西區,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.rnap4?iplscode=2002&iwebcod=&iuid=3T3F4C4C3N4E3Q4A
24,嘉義市東區,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.rnap4?iplscode=2001&iwebcod=&iuid=3T3F4C4C3N4E3Q4A
25,新竹市香山區,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.rnap4?iplscode=1803&iwebcod=&iuid=3T3F4C4C3N4E3Q4A
