,執行單位,標案名稱,詳細連結
0,僑務委員會,休士頓華僑文教服務中心屋頂更新及頂樓防水施作工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1R2720222426282A30&iprjno=1P1Q26202429262A&iuid=3T3F4C4C3N4E3Q4A
1,僑務委員會,108年洛僑中心整繕工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1R2720222426282A30&iprjno=1P1Q26202525262A&iuid=3T3F4C4C3N4E3Q4A
2,台灣中油股份有限公司儲運處,鴻運輪計畫型塢修工程(108年)暨盛運輪計畫型塢修工程(108年),http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1R2125223537372C39&iprjno=2B2G2Q202A262F282A2D&iuid=3T3F4C4C3N4E3Q4A
3,台灣中油股份有限公司探採事業部,查德礦區BCO Ⅲ區塊ORYX油田地面設備統包工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1R2125222926282A39&iprjno=2G2G382029252B282A2D&iuid=3T3F4C4C3N4E3Q4A
4,台灣中油股份有限公司探採事業部,Benoy基地新建統包工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1R2125222926282A39&iprjno=2C2D2F20282827282C2G&iuid=3T3F4C4C3N4E3Q4A
5,台灣中油股份有限公司探採事業部,查德礦區Oryx油田原油外輸長途管線及末站統包工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1R2125222926282A39&iprjno=2C2G3820292426282A2D&iuid=3T3F4C4C3N4E3Q4A
6,臺灣銀行股份有限公司,臺灣銀行雅加達代表人辦事處行舍裝潢招標,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1Q2522222426282A3C&iprjno=2O301P2222252F252G293F4A4C4H4D4H3G4L4L55&iuid=3T3F4C4C3N4E3Q4A
7,駐泰國代表處,駐泰國代表處現址復原,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1Q212I272426282A30&iprjno=3D3N3F343P41484F4I414M494J4D4O524D4S515A&iuid=3T3F4C4C3N4E3Q4A
8,海軍陸戰隊指揮部,烏坵營區新建工程第二標案,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1Q232423242C282A31&iprjno=1P1Q231R222A2D292A2C2F2I2N2T2T2O2Q313232&iuid=3T3F4C4C3N4E3Q4A
9,金門縣政府觀光處,大膽島閒置營房及據點改造工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242N2C282A47&iprjno=2O1R1S27232526292B2C2E2K2N&iuid=3T3F4C4C3N4E3Q4A
10,金門縣政府工務處水利及下水道科,「烈嶼鄉中墩排水工程」,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242M27372C47&iprjno=2O1R1S27232526292B2C2F2J2K&iuid=3T3F4C4C3N4E3Q4A
11,金門縣烈嶼鄉西口國民小學,西口國小圖書室暨教室講桌改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242L2F2H2I3N&iprjno=2O1R1S282526272H2B2C2E2J2R&iuid=3T3F4C4C3N4E3Q4A
12,金門縣烈嶼鄉西口國民小學,西口國小校園零星修繕工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242L2F2H2I3N&iprjno=2O1R1S282526272H2B2C2E2L2R&iuid=3T3F4C4C3N4E3Q4A
13,金門縣烈嶼鄉西口國民小學,西口國小電腦教室暨設備改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242L2F2H2I3N&iprjno=2O1R1S282526272H2B2C2E2L2P&iuid=3T3F4C4C3N4E3Q4A
14,金門縣烈嶼鄉西口國民小學,西口國小教室鋁門窗改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242L2F2H2I3N&iprjno=2O1R1S282526272H2B2C2E2L2K&iuid=3T3F4C4C3N4E3Q4A
15,金門縣政府教育處,金門縣立烈嶼國民中學400公尺標準運動場新建工程案,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242L2F282A47&iprjno=1P1Q251R222523282A2D&iuid=3T3F4C4C3N4E3Q4A
16,金門縣政府建設處,烈嶼鄉傳統聚落空間修景微型計畫—上林李將軍廟周邊廣場暨濱海入口廣場改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242L2B282A47&iprjno=2O1R1S27232526292B2C2F2M2M&iuid=3T3F4C4C3N4E3Q4A
17,金門縣政府建設處,烈嶼鄉傳統聚落空間修景微型計畫－西方聚落戰役史蹟文創商街環境改善工程（均衡城鄉）,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242L2B282A47&iprjno=2O1R1S27232526292B2C2F2M2L&iuid=3T3F4C4C3N4E3Q4A
18,金門縣政府建設處,烈嶼鄉上林李將軍廟前廣場環境改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242L2B282A47&iprjno=2O1R1S28232526292B2C2E2K2I&iuid=3T3F4C4C3N4E3Q4A
19,金門縣政府建設處,金門縣106年度羅厝漁港改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242L2B282A47&iprjno=2O1R1S26232526292B2C2F2L2Q&iuid=3T3F4C4C3N4E3Q4A
20,金門縣港務處,九宮港區候船空間改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242A26282A3B&iprjno=2O1R1S27222426292A2C2F&iuid=3T3F4C4C3N4E3Q4A
21,金門縣自來水廠,菱湖及西湖水庫周邊設施改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242927282A3A&iprjno=2O1R1S282427262B2B2C2E2I2K&iuid=3T3F4C4C3N4E3Q4A
22,金門縣衛生局,金門縣烈嶼鄉衛生所整修工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T2024272C282A37&iprjno=2O1R1S272425262A2B2C2F2M2I&iuid=3T3F4C4C3N4E3Q4A
23,金門縣烈嶼鄉公所,烈嶼鄉大山頂週邊環境綠美化工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242526282A31&iprjno=1P1Q26362227&iuid=3T3F4C4C3N4E3Q4A
24,金門縣烈嶼鄉公所,108年烈嶼加油站周邊環境改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242526282A31&iprjno=1P1Q262J2J2427&iuid=3T3F4C4C3N4E3Q4A
25,金門縣烈嶼鄉公所,108年度烈嶼鄉道路修補工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242526282A31&iprjno=1P1Q26202228&iuid=3T3F4C4C3N4E3Q4A
26,金門縣烈嶼鄉公所,烈嶼鄉雙口多功能景觀瞭望台暨廁所等公共設施新建工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242526282A31&iprjno=1P1Q2520242D&iuid=3T3F4C4C3N4E3Q4A
27,金門縣烈嶼鄉公所,烈嶼鄉107年度產業道路暨農田排水改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242526282A31&iprjno=1P1Q25202329&iuid=3T3F4C4C3N4E3Q4A
