,工程名稱,監造單位,施工廠商,施工期間,決標金額,重要公告,設計單位
0,休士頓華僑文教服務中心屋頂更新及頂樓防水施作工程,僑務委員會,"DANGLACONSTRUCTION&ASSOCIATES,LLC",民國108年06月29日至108年08月09日,"3,200千元",截至108年09月底實際進度： 100.00%,
1,108年洛僑中心整繕工程,僑務委員會,Haico,民國108年06月14日至108年08月22日,"1,159千元",截至108年08月底實際進度： 100.00%,
2,鴻運輪計畫型塢修工程(108年)暨盛運輪計畫型塢修工程(108年),台灣中油股份有限公司儲運處,UNITHAISHIPYARDANDENG.LTD.,民國108年06月24日至108年11月27日,"15,723千元",截至108年08月底實際進度：  50.00%,
3,查德礦區BCO Ⅲ區塊ORYX油田地面設備統包工程,HuayouSeniorEngineeringLimited,China-oilHBP,民國107年10月29日至109年01月14日,"4,553,303千元",截至108年08月底實際進度：  71.48%,China-oilHBP
4,Benoy基地新建統包工程,台灣中油股份有限公司探採事業部,hinaShandongInternational(Chad)Co.Ltd,民國107年07月01日至108年09月01日,"367,418千元",截至108年08月底實際進度：  99.35%,hinaShandongInternational(Chad)Co.Ltd
5,查德礦區Oryx油田原油外輸長途管線及末站統包工程,台灣中油股份有限公司探採事業部,"ChinaPetroleumPipelineEngineeringCo.,LtdChad",民國107年07月16日至109年01月15日,"1,498,122千元",截至108年08月底實際進度：  79.59%,"ChinaPetroleumPipelineEngineeringCo.,LtdChad"
6,臺灣銀行雅加達代表人辦事處行舍裝潢招標,臺灣銀行股份有限公司,PTGamakaryaIndahPersada,民國108年07月29日至108年09月10日,"1,138千元",截至108年08月底實際進度：  70.00%,
7,駐泰國代表處現址復原,駐泰國代表處,GeneralEngineeringServices,民國108年06月04日至108年07月01日,"7,467千元",截至108年08月底實際進度： 100.00%,
8,烏坵營區新建工程第二標案,海軍陸戰隊指揮部,海瑞營造股份有限公司,民國106年04月23日至108年10月07日,"298,580千元",截至108年09月底實際進度：  58.58%,海軍陸戰隊指揮部
9,大膽島閒置營房及據點改造工程,潘天壹建築師事務所,尚慶營造有限公司,民國107年06月27日至108年06月18日,"24,920千元",截至108年08月底實際進度： 100.00%,
10,「烈嶼鄉中墩排水工程」,崇峻工程顧問有限公司,昊海營造有限公司,民國108年03月20日至108年09月12日,"7,070千元",截至108年08月底實際進度：  92.39%,
11,西口國小圖書室暨教室講桌改善工程,蔡志哲建築師事務所,奕鴻營造有限公司,民國108年07月10日至108年09月07日,"2,627千元",截至108年08月底實際進度：  17.00%,
12,西口國小校園零星修繕工程,蔡志哲建築師事務所,老木營造有限公司,民國108年08月27日至108年10月05日,"1,080千元",截至年月底實際進度：(未填)%,
13,西口國小電腦教室暨設備改善工程,蔡志哲建築師事務所,奕鴻營造有限公司,民國108年07月15日至108年09月02日,"1,966千元",截至108年08月底實際進度：  26.00%,
14,西口國小教室鋁門窗改善工程,蔡志哲建築師事務所,晶賀鋁業有限公司,民國108年07月03日至108年08月31日,"1,228千元",截至108年08月底實際進度： 100.00%,
15,金門縣立烈嶼國民中學400公尺標準運動場新建工程案,億展聯合建築師事務所,昊海營造有限公司,民國108年05月27日至109年06月29日,"139,045千元",截至108年08月底實際進度：   1.88%,億展聯合建築師事務所
16,烈嶼鄉傳統聚落空間修景微型計畫—上林李將軍廟周邊廣場暨濱海入口廣場改善工程,李凱傑建築師事務所,雲峰營造有限公司,民國108年06月21日至108年12月09日,"9,981千元",截至108年08月底實際進度：  36.38%,
17,烈嶼鄉傳統聚落空間修景微型計畫－西方聚落戰役史蹟文創商街環境改善工程（均衡城鄉）,李凱傑建築師事務所,雲峰營造有限公司,民國108年06月20日至108年11月15日,"4,560千元",截至108年08月底實際進度：  41.22%,
18,烈嶼鄉上林李將軍廟前廣場環境改善工程,李凱傑建築師事務所,欣成營造有限公司,民國108年08月15日至109年01月01日,"4,950千元",截至年月底實際進度：(未填)%,
19,金門縣106年度羅厝漁港改善工程,浩海工程顧問股份有限公司,三聯發工程有限公司,民國107年02月04日至108年09月20日,"108,500千元",截至108年08月底實際進度：  81.84%,浩海工程顧問股份有限公司
20,九宮港區候船空間改善工程,元鼎建築師事務所,金弘泰營造有限公司,民國108年02月15日至108年10月10日,"8,849千元",截至108年08月底實際進度：  65.53%,
21,菱湖及西湖水庫周邊設施改善工程,巨廷工程顧問股份有限公司,昊海營造有限公司,民國108年06月03日至108年12月06日,"15,000千元",截至108年09月底實際進度：  35.87%,
22,金門縣烈嶼鄉衛生所整修工程,黃偉倫建築事務所,雅東營造有限公司,民國108年01月23日至108年06月22日,"2,456千元",截至108年08月底實際進度： 100.00%,
23,烈嶼鄉大山頂週邊環境綠美化工程,新承土木技師事務所,清發土木包工業,民國108年08月01日至108年09月29日,"1,769千元",截至108年08月底實際進度：  24.78%,
24,108年烈嶼加油站周邊環境改善工程,新承土木技師事務所,欣成營造有限公司,民國108年08月07日至108年10月07日,"1,400千元",截至108年08月底實際進度：  28.54%,
25,108年度烈嶼鄉道路修補工程,新承土木技師事務所,金祥億營造有限公司,民國108年05月10日至108年07月18日,"1,860千元",截至108年08月底實際進度： 100.00%,
26,烈嶼鄉雙口多功能景觀瞭望台暨廁所等公共設施新建工程,李凱傑建築師事務所,昊海營造有限公司,民國108年05月20日至109年01月24日,"8,680千元",截至108年08月底實際進度：   0.41%,
27,烈嶼鄉107年度產業道路暨農田排水改善工程,達盛工程顧問有限公司,金祥億營造有限公司,民國108年01月17日至108年07月10日,"7,003千元",截至108年08月底實際進度： 100.00%,
28,烈嶼鄉108年聚落零星改善工程,新承土木技師事務所,金祥億營造有限公司,民國108年06月13日至108年09月10日,"1,180千元",截至108年08月底實際進度：  88.71%,
29,烈嶼鄉楊厝社區活動中心新建工程,李凱傑建築師事務所,金祥億營造有限公司,民國107年09月03日至108年06月06日,"9,368千元",截至108年08月底實際進度： 100.00%,
30,烈嶼鄉108年度區域排水溝清淤及零星修復開口契約,新承土木技師事務所,欣成營造有限公司,民國108年05月10日至108年11月20日,"2,440千元",截至108年08月底實際進度：  37.98%,
31,烈嶼鄉羅厝社區老人共餐中心新建工程,李凱傑建築師事務所,昊海營造有限公司,民國108年06月18日至108年11月14日,"6,143千元",截至108年08月底實際進度：   0.34%,
32,金門大橋建設計畫第CJ02-2C標金門大橋接續工程,台灣世曦工程顧問股份有限公司,東丕營造股份有限公司,民國105年12月28日至110年05月04日,"5,953,850千元",截至108年09月底實際進度：  52.69%,台灣世曦工程顧問股份有限公司
33,南塘二營區整體整修工程,陸軍金門防衛指揮部,金弘泰營造有限公司,民國108年08月02日至108年11月09日,"3,500千元",截至108年08月底實際進度：  30.00%,
34,復興嶼營區整體整修工程,陸軍金門防衛指揮部,瑞旭營造有限公司,民國108年04月27日至108年08月24日,"4,900千元",截至108年08月底實際進度： 100.00%,
35,四維五及周邊營區設施改善工程,鴻邁工程顧問有限公司金門分公司,金中理營造股份有限公司,民國107年09月05日至108年07月28日,"4,610千元",截至108年08月底實際進度： 100.00%,
36,烈嶼湖井頭戰史館公廁與周邊環境整理改善工程,鴻邁工程顧問有限公司金門分公司,金中理營造股份有限公司,民國107年10月23日至108年12月30日,"4,770千元",截至108年08月底實際進度：  62.00%,
37,金門縣金寧鄉公車轉運停車場興建工程,誠蓄工程顧問股份有限公司,駿益營造有限公司,民國107年11月01日至108年11月05日,"23,480千元",截至108年08月底實際進度：  39.21%,
38,金門地區湖下區排工程,崇峻工程顧問有限公司,苗盛營造有限公司,民國108年02月15日至109年02月11日,"40,380千元",截至108年09月底實際進度：  59.17%,
39,「金門工商休閒園區第一期開發區污水處理廠工程」(含三年試運轉),黎明工程顧問股份有限公司,台灣鼎磊企業股份有限公司,民國106年04月25日至107年08月07日,"54,988千元",截至108年08月底實際進度：  98.85%,黎明工程顧問股份有限公司
40,金寧鄉安岐排水分洪截流工程,崇峻工程顧問有限公司,駿益營造有限公司,民國108年02月20日至109年03月11日,"77,930千元",截至108年08月底實際進度：  29.05%,崇峻工程顧問有限公司
41,金鼎國小穿堂教室整修工程,陳木壽建築師事務所,金弘泰營造有限公司,民國108年08月13日至108年10月06日,"1,300千元",截至108年08月底實際進度：   7.51%,
42,廚房增建工程(二),林愷歆建築師事務所,上郡工程有限公司,民國108年06月13日至108年09月20日,"2,758千元",截至108年08月底實際進度：  70.00%,
43,金鼎國民小學北側教室拆除重建工程,竇國昌建築師事務所,岩輝營造有限公司,民國107年01月26日至108年05月31日,"59,970千元",截至108年08月底實際進度： 100.00%,竇國昌建築師事務所
44,金寧鄉南山39號傳統建築物修復工程,許義翔建築師事務所,閎昌營造股份有限公司,民國107年11月08日至109年01月01日,"9,800千元",截至108年09月底實際進度：  84.46%,
45,金門酒廠醱酵大樓新建工程(建築),(Labor Safety And Health Personnel),鴻欣營造股份有限公司,民國106年08月16日至108年12月18日,"567,600千元",截至108年08月底實際進度：  60.63%,戴榮伸建築師事務所
46,金寧廠製酒一場排水系統及綜合大樓設備改善工程,萬鼎工程服務股份有限公司,陞驊營造有限公司,民國107年10月15日至108年02月28日,"6,588千元",截至108年08月底實際進度： 100.00%,
47,金門酒廠醱酵大樓新建工程(機電、空調),戴榮伸建築師事務所,中柱工程股份有限公司,民國106年10月11日至109年02月24日,"385,927千元",截至108年09月底實際進度：  24.28%,戴榮伸建築師事務所
48,物料處8000公升儲酒桶輸酒管路及附屬設備改善工程,明泉冷凍空調技師事務所,松商企業有限公司,民國108年08月26日至109年01月13日,"5,479千元",截至108年09月底實際進度：   3.80%,
49,行政大樓八角樓鋼架粉刷工程,陳啟明建築師事務所(台南市),金泰鑫營造工程有限公司,民國108年08月16日至108年09月27日,"1,179千元",截至108年08月底實際進度：  24.08%,
50,金寧廠福利大樓員工餐廳、休閒中心及廚房整修工程,林存城建築師事務所,陞驊營造有限公司,民國108年07月10日至108年11月06日,"7,480千元",截至108年08月底實際進度：   3.99%,
51,金寧廠廢水水質儀器監控系統及周邊設備改善工程,技嘉電機工業技師事務所,才富有限公司,民國108年04月02日至108年08月17日,"2,693千元",截至108年08月底實際進度：  91.73%,
52,107年金寧廠釀酒二線灑水系統管路改善工程,技嘉電機工業技師事務所,世盛消防設備檢修有限公司,民國108年04月02日至108年08月27日,"3,200千元",截至108年08月底實際進度：  83.59%,
53,金寧廠製程生產設備汰換工程,博文機械技師事務所,松商企業有限公司,民國108年01月20日至108年06月22日,"6,840千元",截至108年09月底實際進度： 100.00%,
54,冷凍室增設負壓設備及櫃體更新與電力系統提升等改善工程,銳思電機冷凍空調技師事務所,天鉅企業有限公司,民國108年01月25日至108年07月12日,"10,640千元",截至108年08月底實際進度： 100.00%,
55,金門縣定古蹟許丕簡古厝修復工程,符宏仁建築師事務所,建華營造股份有限公司,民國108年01月07日至109年01月01日,"18,990千元",截至108年08月底實際進度：   9.93%,
56,金寧鄉昔果山吳氏宗祠周邊改善工程,達盛工程顧問有限公司,萬成營造有限公司,民國108年07月30日至108年11月20日,"1,433千元",截至108年08月底實際進度：  18.23%,
57,金寧鄉盤山村聯外道路改善工程(第二期),達盛工程顧問有限公司,睿宏營造有限公司,民國107年11月23日至108年05月21日,"10,580千元",截至108年09月底實際進度：  33.91%,
